register_type,name,since,value,description,part
Holding,Auswahl Heizkreis,,0,Kein Heizkreis,
Holding,Auswahl Heizkreis,,2,2.Heizkreis,
Holding,Auswahl Heizkreis,,3,3.Heizkreis,
Holding,Betriebsmodus,,0,Sommer,
Holding,Betriebsmodus,,1,Winter,
Holding,Betriebsmodus,,2,Urlaub,
Holding,Betriebsmodus,,3,Party,
Holding,Betriebsmodus,,4,2.Wärmeerzeuger,
Holding,Betriebsmodus,,5,Kühlen,
Holding,Kühlung Raumsolltemperatur,,0,15.0,
Holding,Kühlung Raumsolltemperatur,,1,15.5,
Holding,Kühlung Raumsolltemperatur,,2,16.0,
Holding,Kühlung Raumsolltemperatur,,3,16.5,
Holding,Kühlung Raumsolltemperatur,,4,17.0,
Holding,Kühlung Raumsolltemperatur,,5,17.5,
Holding,Kühlung Raumsolltemperatur,,6,18.0,
Holding,Kühlung Raumsolltemperatur,,7,18.5,
Holding,Kühlung Raumsolltemperatur,,8,19.0,
Holding,Kühlung Raumsolltemperatur,,9,19.5,
Holding,Kühlung Raumsolltemperatur,,10,20.0,
Holding,Kühlung Raumsolltemperatur,,11,20.5,
Holding,Kühlung Raumsolltemperatur,,12,21.0,
Holding,Kühlung Raumsolltemperatur,,13,21.5,
Holding,Kühlung Raumsolltemperatur,,14,22.0,
Holding,Kühlung Raumsolltemperatur,,15,22.5,
Holding,Kühlung Raumsolltemperatur,,16,23.0,
Holding,Kühlung Raumsolltemperatur,,17,23.5,
Holding,Kühlung Raumsolltemperatur,,18,24.0,
Holding,Kühlung Raumsolltemperatur,,19,24.5,
Holding,Kühlung Raumsolltemperatur,,20,25.0,
Holding,Kühlung Raumsolltemperatur,,21,25.5,
Holding,Kühlung Raumsolltemperatur,,22,26.0,
Holding,Kühlung Raumsolltemperatur,,23,26.5,
Holding,Kühlung Raumsolltemperatur,,24,27.0,
Holding,Kühlung Raumsolltemperatur,,25,27.5,
Holding,Kühlung Raumsolltemperatur,,26,28.0,
Holding,Kühlung Raumsolltemperatur,,27,28.5,
Holding,Kühlung Raumsolltemperatur,,28,29.0,
Holding,Kühlung Raumsolltemperatur,,29,29.5,
Holding,Kühlung Raumsolltemperatur,,30,30.0,
Holding,Parallelverschiebung,,0,-19,
Holding,Parallelverschiebung,,1,-18,
Holding,Parallelverschiebung,,2,-17,
Holding,Parallelverschiebung,,3,-16,
Holding,Parallelverschiebung,,4,-15,
Holding,Parallelverschiebung,,5,-14,
Holding,Parallelverschiebung,,6,-13,
Holding,Parallelverschiebung,,7,-12,
Holding,Parallelverschiebung,,8,-11,
Holding,Parallelverschiebung,,9,-10,
Holding,Parallelverschiebung,,10,-9,
Holding,Parallelverschiebung,,11,-8,
Holding,Parallelverschiebung,,12,-7,
Holding,Parallelverschiebung,,13,-6,
Holding,Parallelverschiebung,,14,-5,
Holding,Parallelverschiebung,,15,-4,
Holding,Parallelverschiebung,,16,-3,
Holding,Parallelverschiebung,,17,-2,
Holding,Parallelverschiebung,,18,-1,
Holding,Parallelverschiebung,,19,0,
Holding,Parallelverschiebung,,20,1,
Holding,Parallelverschiebung,,21,2,
Holding,Parallelverschiebung,,22,3,
Holding,Parallelverschiebung,,23,4,
Holding,Parallelverschiebung,,24,5,
Holding,Parallelverschiebung,,25,6,
Holding,Parallelverschiebung,,26,7,
Holding,Parallelverschiebung,,27,8,
Holding,Parallelverschiebung,,28,9,
Holding,Parallelverschiebung,,29,10,
Holding,Parallelverschiebung,,30,11,
Holding,Parallelverschiebung,,31,12,
Holding,Parallelverschiebung,,32,13,
Holding,Parallelverschiebung,,33,14,
Holding,Parallelverschiebung,,34,15,
Holding,Parallelverschiebung,,35,16,
Holding,Parallelverschiebung,,36,17,
Holding,Parallelverschiebung,,37,18,
Holding,Parallelverschiebung,,38,19,
Holding,Raumfreigabe 50-79 BMS,,0,Keine Raumfreigabe,
Holding,Raumfreigabe 50-79 BMS,,1,Heizen (Kühlen gesperrt),
Holding,Raumfreigabe 50-79 BMS,,3,Heizen und Kühlen,
Holding,Sensorfehler,,0,Kein Fehler,
Holding,Sensorfehler,,1,Außenfühler,R1
Holding,Sensorfehler,,2,Rücklauffühler,R2
Holding,Sensorfehler,,3,Warmwasserfühler,R3
Holding,Sensorfehler,,4,Codierung,R7
Holding,Sensorfehler,,5,Vorlauffühler,R9
Holding,Sensorfehler,,6,2.Heizkreisfühler,R5
Holding,Sensorfehler,,7,3.Heizkreisfühler,R13
Holding,Sensorfehler,,8,Regenerativfühler,R13
Holding,Sensorfehler,,9,Raumfühler 1,
Holding,Sensorfehler,,10,Raumfühler 2,
Holding,Sensorfehler,,11,Fühler Wärmequellenaustritt,R6
Holding,Sensorfehler,,12,Fühler Wärmequelleneintritt,R24
Holding,Sensorfehler,,14,Kollektorfühler,R23
Holding,Sensorfehler,,15,Niederdrucksensor,R25
Holding,Sensorfehler,,16,Hochdrucksensor,R26
Holding,Sensorfehler,,17,Raumfeuchte 1,
Holding,Sensorfehler,,18,Raumfeuchte 2,
Holding,Sensorfehler,,19,Fühler Frostschutz-Kälte,
Holding,Sensorfehler,,20,Heißgas,
Holding,Sensorfehler,,21,Rücklauffühler,R2.1
Holding,Sensorfehler,,22,Schwimmbadfühler,R20
Holding,Sensorfehler,,23,Vorlauffühler Kühlen Passiv,R11
Holding,Sensorfehler,,24,Rücklauffühler Kühlen Passiv,R4
Holding,Sensorfehler,,26,Fühler Solarspeicher,R22
Holding,Sensorfehler,,28,Anforderungsfühler Heizen,R2.2
Holding,Sensorfehler,,29,RTM Econ,
Holding,Sensorfehler,,30,Anforderungsfühler Kühlen,R39
Holding,Smart Grid,,0,Hardwareeingang,
Holding,Smart Grid,,10,Zustand gelb,
Holding,Smart Grid,,11,Zustand grün,
Holding,Smart Grid,,12,Zustand rot,
Holding,Smart Grid,,13,Zustand dunkelgrün,
